id	namespace	canonical_path	source_count	variant_count	status
wordpress/kolodahearthstone/wordpress-change-impact	wordpress/kolodahearthstone	skills/wordpress/kolodahearthstone/wordpress-change-impact/SKILL.md	6	2	canonical
wordpress/hs-manacost/wordpress-clean-code	wordpress/hs-manacost	skills/wordpress/hs-manacost/wordpress-clean-code/SKILL.md	6	2	canonical
wordpress/kolodahearthstone/wordpress-clean-code	wordpress/kolodahearthstone	skills/wordpress/kolodahearthstone/wordpress-clean-code/SKILL.md	6	2	canonical
wordpress/hs-manacost/wordpress-content-integrity	wordpress/hs-manacost	skills/wordpress/hs-manacost/wordpress-content-integrity/SKILL.md	6	2	canonical
wordpress/kolodahearthstone/wordpress-content-integrity	wordpress/kolodahearthstone	skills/wordpress/kolodahearthstone/wordpress-content-integrity/SKILL.md	6	2	canonical
wordpress/hs-manacost/wordpress-database-migrations	wordpress/hs-manacost	skills/wordpress/hs-manacost/wordpress-database-migrations/SKILL.md	6	2	canonical
wordpress/kolodahearthstone/wordpress-database-migrations	wordpress/kolodahearthstone	skills/wordpress/kolodahearthstone/wordpress-database-migrations/SKILL.md	6	2	canonical
wordpress/hs-manacost/wordpress-editorial-publish-gate	wordpress/hs-manacost	skills/wordpress/hs-manacost/wordpress-editorial-publish-gate/SKILL.md	6	2	canonical
wordpress/kolodahearthstone/wordpress-editorial-publish-gate	wordpress/kolodahearthstone	skills/wordpress/kolodahearthstone/wordpress-editorial-publish-gate/SKILL.md	6	2	canonical
wordpress/hs-manacost/wordpress-external-integrations	wordpress/hs-manacost	skills/wordpress/hs-manacost/wordpress-external-integrations/SKILL.md	6	2	canonical
wordpress/kolodahearthstone/wordpress-external-integrations	wordpress/kolodahearthstone	skills/wordpress/kolodahearthstone/wordpress-external-integrations/SKILL.md	6	2	canonical
wordpress/hs-manacost/wordpress-incident-response	wordpress/hs-manacost	skills/wordpress/hs-manacost/wordpress-incident-response/SKILL.md	6	2	canonical
wordpress/kolodahearthstone/wordpress-incident-response	wordpress/kolodahearthstone	skills/wordpress/kolodahearthstone/wordpress-incident-response/SKILL.md	6	2	canonical
wordpress/hs-manacost/wordpress-media-integrity	wordpress/hs-manacost	skills/wordpress/hs-manacost/wordpress-media-integrity/SKILL.md	6	2	canonical
wordpress/kolodahearthstone/wordpress-media-integrity	wordpress/kolodahearthstone	skills/wordpress/kolodahearthstone/wordpress-media-integrity/SKILL.md	6	2	canonical
wordpress/hs-manacost/wordpress-observability	wordpress/hs-manacost	skills/wordpress/hs-manacost/wordpress-observability/SKILL.md	6	2	canonical
wordpress/kolodahearthstone/wordpress-observability	wordpress/kolodahearthstone	skills/wordpress/kolodahearthstone/wordpress-observability/SKILL.md	6	2	canonical
wordpress/wordpress-plugin-dev	wordpress	skills/wordpress/wordpress-plugin-dev/SKILL.md	14	2	canonical
wordpress/hs-manacost/wordpress-privacy-consent	wordpress/hs-manacost	skills/wordpress/hs-manacost/wordpress-privacy-consent/SKILL.md	6	2	canonical
wordpress/kolodahearthstone/wordpress-privacy-consent	wordpress/kolodahearthstone	skills/wordpress/kolodahearthstone/wordpress-privacy-consent/SKILL.md	6	2	canonical
wordpress/hs-manacost/wordpress-redesign-system	wordpress/hs-manacost	skills/wordpress/hs-manacost/wordpress-redesign-system/SKILL.md	6	2	canonical
wordpress/kolodahearthstone/wordpress-redesign-system	wordpress/kolodahearthstone	skills/wordpress/kolodahearthstone/wordpress-redesign-system/SKILL.md	6	2	canonical
wordpress/hs-manacost/wordpress-release-manager	wordpress/hs-manacost	skills/wordpress/hs-manacost/wordpress-release-manager/SKILL.md	6	2	canonical
wordpress/kolodahearthstone/wordpress-release-manager	wordpress/kolodahearthstone	skills/wordpress/kolodahearthstone/wordpress-release-manager/SKILL.md	6	2	canonical
wordpress/hs-manacost/wordpress-responsive-experience	wordpress/hs-manacost	skills/wordpress/hs-manacost/wordpress-responsive-experience/SKILL.md	6	2	canonical
wordpress/kolodahearthstone/wordpress-responsive-experience	wordpress/kolodahearthstone	skills/wordpress/kolodahearthstone/wordpress-responsive-experience/SKILL.md	6	2	canonical
wordpress/wordpress-router	wordpress	skills/wordpress/wordpress-router/SKILL.md	6	1	canonical
wordpress/hs-manacost/wordpress-runtime-stack	wordpress/hs-manacost	skills/wordpress/hs-manacost/wordpress-runtime-stack/SKILL.md	6	2	canonical
wordpress/kolodahearthstone/wordpress-runtime-stack	wordpress/kolodahearthstone	skills/wordpress/kolodahearthstone/wordpress-runtime-stack/SKILL.md	6	2	canonical
wordpress/hs-manacost/wordpress-seo-editorial	wordpress/hs-manacost	skills/wordpress/hs-manacost/wordpress-seo-editorial/SKILL.md	6	2	canonical
wordpress/kolodahearthstone/wordpress-seo-editorial	wordpress/kolodahearthstone	skills/wordpress/kolodahearthstone/wordpress-seo-editorial/SKILL.md	6	2	canonical
wordpress/hs-manacost/wordpress-typography-layout-system	wordpress/hs-manacost	skills/wordpress/hs-manacost/wordpress-typography-layout-system/SKILL.md	6	2	canonical
wordpress/kolodahearthstone/wordpress-typography-layout-system	wordpress/kolodahearthstone	skills/wordpress/kolodahearthstone/wordpress-typography-layout-system/SKILL.md	6	2	canonical
wordpress/workers-best-practices	wordpress	skills/wordpress/workers-best-practices/SKILL.md	6	1	canonical
wordpress/wp-performance	wordpress	skills/wordpress/wp-performance/SKILL.md	6	1	canonical
wordpress/wp-phpstan	wordpress	skills/wordpress/wp-phpstan/SKILL.md	6	1	canonical
wordpress/wp-plugin-development	wordpress	skills/wordpress/wp-plugin-development/SKILL.md	6	1	canonical
wordpress/wp-project-triage	wordpress	skills/wordpress/wp-project-triage/SKILL.md	6	1	canonical
wordpress/wp-rest-api	wordpress	skills/wordpress/wp-rest-api/SKILL.md	6	1	canonical
wordpress/wp-wpcli-and-ops	wordpress	skills/wordpress/wp-wpcli-and-ops/SKILL.md	6	1	canonical
wordpress/wrangler	wordpress	skills/wordpress/wrangler/SKILL.md	6	1	canonical
engineering/agent-rules-books/a-philosophy-of-software-design	engineering/agent-rules-books	skills/engineering/agent-rules-books/a-philosophy-of-software-design/SKILL.md		1	1	canonical
engineering/agent-rules-books/clean-architecture	engineering/agent-rules-books	skills/engineering/agent-rules-books/clean-architecture/SKILL.md		1	1	canonical
engineering/agent-rules-books/clean-code	engineering/agent-rules-books	skills/engineering/agent-rules-books/clean-code/SKILL.md		1	1	canonical
engineering/agent-rules-books/code-complete	engineering/agent-rules-books	skills/engineering/agent-rules-books/code-complete/SKILL.md		1	1	canonical
engineering/agent-rules-books/designing-data-intensive-applications	engineering/agent-rules-books	skills/engineering/agent-rules-books/designing-data-intensive-applications/SKILL.md		1	1	canonical
engineering/agent-rules-books/domain-driven-design	engineering/agent-rules-books	skills/engineering/agent-rules-books/domain-driven-design/SKILL.md		1	1	canonical
engineering/agent-rules-books/domain-driven-design-distilled	engineering/agent-rules-books	skills/engineering/agent-rules-books/domain-driven-design-distilled/SKILL.md		1	1	canonical
engineering/agent-rules-books/implementing-domain-driven-design	engineering/agent-rules-books	skills/engineering/agent-rules-books/implementing-domain-driven-design/SKILL.md		1	1	canonical
engineering/agent-rules-books/patterns-of-enterprise-application-architecture	engineering/agent-rules-books	skills/engineering/agent-rules-books/patterns-of-enterprise-application-architecture/SKILL.md		1	1	canonical
engineering/agent-rules-books/refactoring-guru	engineering/agent-rules-books	skills/engineering/agent-rules-books/refactoring-guru/SKILL.md		1	1	canonical
engineering/agent-rules-books/refactoring	engineering/agent-rules-books	skills/engineering/agent-rules-books/refactoring/SKILL.md		1	1	canonical
engineering/agent-rules-books/release-it	engineering/agent-rules-books	skills/engineering/agent-rules-books/release-it/SKILL.md		1	1	canonical
engineering/agent-rules-books/the-pragmatic-programmer	engineering/agent-rules-books	skills/engineering/agent-rules-books/the-pragmatic-programmer/SKILL.md		1	1	canonical
engineering/agent-rules-books/working-effectively-with-legacy-code	engineering/agent-rules-books	skills/engineering/agent-rules-books/working-effectively-with-legacy-code/SKILL.md		1	1	canonical
engineering/codebase-design	engineering	skills/engineering/codebase-design/SKILL.md	1	1	canonical
engineering/diagnosing-bugs	engineering	skills/engineering/diagnosing-bugs/SKILL.md	1	1	canonical
engineering/domain-modeling	engineering	skills/engineering/domain-modeling/SKILL.md	1	1	canonical
engineering/improve-codebase-architecture	engineering	skills/engineering/improve-codebase-architecture/SKILL.md	1	1	canonical
engineering/resolving-merge-conflicts	engineering	skills/engineering/resolving-merge-conflicts/SKILL.md	1	1	canonical
engineering/clean-architecture-skills/clean-architecture	engineering/clean-architecture-skills	skills/engineering/clean-architecture-skills/clean-architecture/SKILL.md	1	1	canonical
engineering/clean-architecture-skills/kent-beck-style	engineering/clean-architecture-skills	skills/engineering/clean-architecture-skills/kent-beck-style/SKILL.md	1	1	canonical
engineering/addy/api-and-interface-design	engineering/addy	skills/engineering/addy/api-and-interface-design/SKILL.md	1	1	canonical
engineering/addy/ci-cd-and-automation	engineering/addy	skills/engineering/addy/ci-cd-and-automation/SKILL.md	1	1	canonical
engineering/addy/context-engineering	engineering/addy	skills/engineering/addy/context-engineering/SKILL.md	1	1	canonical
engineering/addy/documentation-and-adrs	engineering/addy	skills/engineering/addy/documentation-and-adrs/SKILL.md	1	1	canonical
engineering/addy/frontend-ui-engineering	engineering/addy	skills/engineering/addy/frontend-ui-engineering/SKILL.md	1	1	canonical
engineering/addy/git-workflow-and-versioning	engineering/addy	skills/engineering/addy/git-workflow-and-versioning/SKILL.md	1	1	canonical
engineering/addy/performance-optimization	engineering/addy	skills/engineering/addy/performance-optimization/SKILL.md	1	1	canonical
engineering/addy/planning-and-task-breakdown	engineering/addy	skills/engineering/addy/planning-and-task-breakdown/SKILL.md	1	1	canonical
engineering/addy/source-driven-development	engineering/addy	skills/engineering/addy/source-driven-development/SKILL.md	1	1	canonical
engineering/addy/using-agent-skills	engineering/addy	skills/engineering/addy/using-agent-skills/SKILL.md	1	1	canonical
engineering/repo-docs/repo-docs	engineering/repo-docs	skills/engineering/repo-docs/repo-docs/SKILL.md	1	1	canonical
engineering/repo-docs/repo-docs-zh	engineering/repo-docs	skills/engineering/repo-docs/repo-docs-zh/SKILL.md	1	1	canonical
engineering/softaworks/dependency-updater	engineering/softaworks	skills/engineering/softaworks/dependency-updater/SKILL.md	1	1	canonical
